,paid,EAST 1, East 2, East 3, East 4,West 1, West 2, West 3, West 4,East A,East B,West A,West B,East Final,West Final,Finals
Bell,,COL,MIN,CGY,EDM,FLA,TOR,CAR,NYR,COL,CGY,FLA,NYR,COL,FLA,COL
WLG,,COL,STL,CGY,EDM,FLA,TBL,CAR,NYR,COL,CGY,TBL,CAR,COL,CAR,COL
Drew,,COL,STL,CGY,EDM,FLA,TBL,CAR,NYR,COL,CGY,TBL,CAR,COL,CAR,COL
Poole,,COL,MIN,CGY,EDM,FLA,TOR,BOS,PIT,COL,CGY,TOR,BOS,CGY,TOR,CGY
Jeff Thurston,,COL,MIN,CGY,EDM,FLA,TOR,CAR,NYR,COL,CGY,FLA,CAR,COL,FLA,COL
Mitchy the Kid,,COL,STL,CGY,EDM,FLA,TOR,BOS,NYR,COL,CGY,TOR,NYR,COL,TOR,COL
Sower&Reaper,,COL,STL,CGY,EDM,FLA,TBL,CAR,NYR,COL,CGY,FLA,CAR,CGY,FLA,CGY
LittleBoyBlue,,COL,STL,CGY,EDM,FLA,TOR,CAR,PIT,COL,CGY,FLA,PIT,CGY,FLA,FLA
Blake1,,COL,STL,DAL,EDM,FLA,TBL,CAR,NYR,COL,EDM,FLA,CAR,COL,FLA,FLA
darb revluc,,COL,STL,CGY,EDM,FLA,TBL,BOS,PIT,COL,CGY,FLA,BOS,CGY,FLA,CGY
Hugh,,COL,MIN,CGY,EDM,FLA,TBL,BOS,NYR,COL,CGY,FLA,NYR,CGY,FLA,CGY
Farq,,COL,STL,CGY,EDM,FLA,TBL,BOS,NYR,COL,CGY,FLA,BOS,COL,FLA,COL
HockeyMan,,COL,MIN,CGY,EDM,FLA,TBL,CAR,PIT,COL,CGY,TBL,CAR,COL,TBL,COL
Jason,,COL,STL,CGY,EDM,FLA,TOR,BOS,NYR,COL,EDM,TOR,BOS,EDM,TOR,EDM